table_id,row_index,table_index,x_min_ft,x_max_ft,y_min_ft,y_max_ft,x_center_ft,y_center_ft,x_min_m,x_max_m,y_min_m,y_max_m
R1T1,1,1,0,20,10,15,10,12.5,0.000,6.096,3.048,4.572
R1T2,1,2,30,50,10,15,40,12.5,9.144,15.240,3.048,4.572
R1T3,1,3,60,80,10,15,70,12.5,18.288,24.384,3.048,4.572
R1T4,1,4,90,110,10,15,100,12.5,27.432,33.528,3.048,4.572
R1T5,1,5,120,140,10,15,130,12.5,36.576,42.672,3.048,4.572
R2T1,2,1,0,20,25,30,10,27.5,0.000,6.096,7.620,9.144
R2T2,2,2,30,50,25,30,40,27.5,9.144,15.240,7.620,9.144
R2T3,2,3,60,80,25,30,70,27.5,18.288,24.384,7.620,9.144
R2T4,2,4,90,110,25,30,100,27.5,27.432,33.528,7.620,9.144
R2T5,2,5,120,140,25,30,130,27.5,36.576,42.672,7.620,9.144
R3T1,3,1,0,20,40,45,10,42.5,0.000,6.096,12.192,13.716
R3T2,3,2,30,50,40,45,40,42.5,9.144,15.240,12.192,13.716
R3T3,3,3,60,80,40,45,70,42.5,18.288,24.384,12.192,13.716
R3T4,3,4,90,110,40,45,100,42.5,27.432,33.528,12.192,13.716
R3T5,3,5,120,140,40,45,130,42.5,36.576,42.672,12.192,13.716
R4T1,4,1,0,20,55,60,10,57.5,0.000,6.096,16.764,18.288
R4T2,4,2,30,50,55,60,40,57.5,9.144,15.240,16.764,18.288
R4T3,4,3,60,80,55,60,70,57.5,18.288,24.384,16.764,18.288
R4T4,4,4,90,110,55,60,100,57.5,27.432,33.528,16.764,18.288
R4T5,4,5,120,140,55,60,130,57.5,36.576,42.672,16.764,18.288
R5T1,5,1,0,20,70,75,10,72.5,0.000,6.096,21.336,22.860
R5T2,5,2,30,50,70,75,40,72.5,9.144,15.240,21.336,22.860
R5T3,5,3,60,80,70,75,70,72.5,18.288,24.384,21.336,22.860
R5T4,5,4,90,110,70,75,100,72.5,27.432,33.528,21.336,22.860
R5T5,5,5,120,140,70,75,130,72.5,36.576,42.672,21.336,22.860
