work_area_id,table_id,row_index,table_index,area_index,x_min_ft,x_max_ft,y_min_ft,y_max_ft,x_center_ft,y_center_ft
R1T1A1,R1T1,1,1,1,0.5,4.5,10,15,2.5,12.5
R1T1A2,R1T1,1,1,2,5.5,9.5,10,15,7.5,12.5
R1T1A3,R1T1,1,1,3,10.5,14.5,10,15,12.5,12.5
R1T1A4,R1T1,1,1,4,15.5,19.5,10,15,17.5,12.5
R1T2A1,R1T2,1,2,1,30.5,34.5,10,15,32.5,12.5
R1T2A2,R1T2,1,2,2,35.5,39.5,10,15,37.5,12.5
R1T2A3,R1T2,1,2,3,40.5,44.5,10,15,42.5,12.5
R1T2A4,R1T2,1,2,4,45.5,49.5,10,15,47.5,12.5
R1T3A1,R1T3,1,3,1,60.5,64.5,10,15,62.5,12.5
R1T3A2,R1T3,1,3,2,65.5,69.5,10,15,67.5,12.5
R1T3A3,R1T3,1,3,3,70.5,74.5,10,15,72.5,12.5
R1T3A4,R1T3,1,3,4,75.5,79.5,10,15,77.5,12.5
R1T4A1,R1T4,1,4,1,90.5,94.5,10,15,92.5,12.5
R1T4A2,R1T4,1,4,2,95.5,99.5,10,15,97.5,12.5
R1T4A3,R1T4,1,4,3,100.5,104.5,10,15,102.5,12.5
R1T4A4,R1T4,1,4,4,105.5,109.5,10,15,107.5,12.5
R1T5A1,R1T5,1,5,1,120.5,124.5,10,15,122.5,12.5
R1T5A2,R1T5,1,5,2,125.5,129.5,10,15,127.5,12.5
R1T5A3,R1T5,1,5,3,130.5,134.5,10,15,132.5,12.5
R1T5A4,R1T5,1,5,4,135.5,139.5,10,15,137.5,12.5
R2T1A1,R2T1,2,1,1,0.5,4.5,25,30,2.5,27.5
R2T1A2,R2T1,2,1,2,5.5,9.5,25,30,7.5,27.5
R2T1A3,R2T1,2,1,3,10.5,14.5,25,30,12.5,27.5
R2T1A4,R2T1,2,1,4,15.5,19.5,25,30,17.5,27.5
R2T2A1,R2T2,2,2,1,30.5,34.5,25,30,32.5,27.5
R2T2A2,R2T2,2,2,2,35.5,39.5,25,30,37.5,27.5
R2T2A3,R2T2,2,2,3,40.5,44.5,25,30,42.5,27.5
R2T2A4,R2T2,2,2,4,45.5,49.5,25,30,47.5,27.5
R2T3A1,R2T3,2,3,1,60.5,64.5,25,30,62.5,27.5
R2T3A2,R2T3,2,3,2,65.5,69.5,25,30,67.5,27.5
R2T3A3,R2T3,2,3,3,70.5,74.5,25,30,72.5,27.5
R2T3A4,R2T3,2,3,4,75.5,79.5,25,30,77.5,27.5
R2T4A1,R2T4,2,4,1,90.5,94.5,25,30,92.5,27.5
R2T4A2,R2T4,2,4,2,95.5,99.5,25,30,97.5,27.5
R2T4A3,R2T4,2,4,3,100.5,104.5,25,30,102.5,27.5
R2T4A4,R2T4,2,4,4,105.5,109.5,25,30,107.5,27.5
R2T5A1,R2T5,2,5,1,120.5,124.5,25,30,122.5,27.5
R2T5A2,R2T5,2,5,2,125.5,129.5,25,30,127.5,27.5
R2T5A3,R2T5,2,5,3,130.5,134.5,25,30,132.5,27.5
R2T5A4,R2T5,2,5,4,135.5,139.5,25,30,137.5,27.5
R3T1A1,R3T1,3,1,1,0.5,4.5,40,45,2.5,42.5
R3T1A2,R3T1,3,1,2,5.5,9.5,40,45,7.5,42.5
R3T1A3,R3T1,3,1,3,10.5,14.5,40,45,12.5,42.5
R3T1A4,R3T1,3,1,4,15.5,19.5,40,45,17.5,42.5
R3T2A1,R3T2,3,2,1,30.5,34.5,40,45,32.5,42.5
R3T2A2,R3T2,3,2,2,35.5,39.5,40,45,37.5,42.5
R3T2A3,R3T2,3,2,3,40.5,44.5,40,45,42.5,42.5
R3T2A4,R3T2,3,2,4,45.5,49.5,40,45,47.5,42.5
R3T3A1,R3T3,3,3,1,60.5,64.5,40,45,62.5,42.5
R3T3A2,R3T3,3,3,2,65.5,69.5,40,45,67.5,42.5
R3T3A3,R3T3,3,3,3,70.5,74.5,40,45,72.5,42.5
R3T3A4,R3T3,3,3,4,75.5,79.5,40,45,77.5,42.5
R3T4A1,R3T4,3,4,1,90.5,94.5,40,45,92.5,42.5
R3T4A2,R3T4,3,4,2,95.5,99.5,40,45,97.5,42.5
R3T4A3,R3T4,3,4,3,100.5,104.5,40,45,102.5,42.5
R3T4A4,R3T4,3,4,4,105.5,109.5,40,45,107.5,42.5
R3T5A1,R3T5,3,5,1,120.5,124.5,40,45,122.5,42.5
R3T5A2,R3T5,3,5,2,125.5,129.5,40,45,127.5,42.5
R3T5A3,R3T5,3,5,3,130.5,134.5,40,45,132.5,42.5
R3T5A4,R3T5,3,5,4,135.5,139.5,40,45,137.5,42.5
R4T1A1,R4T1,4,1,1,0.5,4.5,55,60,2.5,57.5
R4T1A2,R4T1,4,1,2,5.5,9.5,55,60,7.5,57.5
R4T1A3,R4T1,4,1,3,10.5,14.5,55,60,12.5,57.5
R4T1A4,R4T1,4,1,4,15.5,19.5,55,60,17.5,57.5
R4T2A1,R4T2,4,2,1,30.5,34.5,55,60,32.5,57.5
R4T2A2,R4T2,4,2,2,35.5,39.5,55,60,37.5,57.5
R4T2A3,R4T2,4,2,3,40.5,44.5,55,60,42.5,57.5
R4T2A4,R4T2,4,2,4,45.5,49.5,55,60,47.5,57.5
R4T3A1,R4T3,4,3,1,60.5,64.5,55,60,62.5,57.5
R4T3A2,R4T3,4,3,2,65.5,69.5,55,60,67.5,57.5
R4T3A3,R4T3,4,3,3,70.5,74.5,55,60,72.5,57.5
R4T3A4,R4T3,4,3,4,75.5,79.5,55,60,77.5,57.5
R4T4A1,R4T4,4,4,1,90.5,94.5,55,60,92.5,57.5
R4T4A2,R4T4,4,4,2,95.5,99.5,55,60,97.5,57.5
R4T4A3,R4T4,4,4,3,100.5,104.5,55,60,102.5,57.5
R4T4A4,R4T4,4,4,4,105.5,109.5,55,60,107.5,57.5
R4T5A1,R4T5,4,5,1,120.5,124.5,55,60,122.5,57.5
R4T5A2,R4T5,4,5,2,125.5,129.5,55,60,127.5,57.5
R4T5A3,R4T5,4,5,3,130.5,134.5,55,60,132.5,57.5
R4T5A4,R4T5,4,5,4,135.5,139.5,55,60,137.5,57.5
R5T1A1,R5T1,5,1,1,0.5,4.5,70,75,2.5,72.5
R5T1A2,R5T1,5,1,2,5.5,9.5,70,75,7.5,72.5
R5T1A3,R5T1,5,1,3,10.5,14.5,70,75,12.5,72.5
R5T1A4,R5T1,5,1,4,15.5,19.5,70,75,17.5,72.5
R5T2A1,R5T2,5,2,1,30.5,34.5,70,75,32.5,72.5
R5T2A2,R5T2,5,2,2,35.5,39.5,70,75,37.5,72.5
R5T2A3,R5T2,5,2,3,40.5,44.5,70,75,42.5,72.5
R5T2A4,R5T2,5,2,4,45.5,49.5,70,75,47.5,72.5
R5T3A1,R5T3,5,3,1,60.5,64.5,70,75,62.5,72.5
R5T3A2,R5T3,5,3,2,65.5,69.5,70,75,67.5,72.5
R5T3A3,R5T3,5,3,3,70.5,74.5,70,75,72.5,72.5
R5T3A4,R5T3,5,3,4,75.5,79.5,70,75,77.5,72.5
R5T4A1,R5T4,5,4,1,90.5,94.5,70,75,92.5,72.5
R5T4A2,R5T4,5,4,2,95.5,99.5,70,75,97.5,72.5
R5T4A3,R5T4,5,4,3,100.5,104.5,70,75,102.5,72.5
R5T4A4,R5T4,5,4,4,105.5,109.5,70,75,107.5,72.5
R5T5A1,R5T5,5,5,1,120.5,124.5,70,75,122.5,72.5
R5T5A2,R5T5,5,5,2,125.5,129.5,70,75,127.5,72.5
R5T5A3,R5T5,5,5,3,130.5,134.5,70,75,132.5,72.5
R5T5A4,R5T5,5,5,4,135.5,139.5,70,75,137.5,72.5
