goal_id,work_area_id,side,x_ft,y_ft,yaw_deg,x_m,y_m,yaw_rad
R1T1A1_S,R1T1A1,south,2.5,9.0,-90,0.762,2.743,-1.5708
R1T1A1_N,R1T1A1,north,2.5,16.0,90,0.762,4.877,1.5708
R1T1A2_S,R1T1A2,south,7.5,9.0,-90,2.286,2.743,-1.5708
R1T1A2_N,R1T1A2,north,7.5,16.0,90,2.286,4.877,1.5708
R1T1A3_S,R1T1A3,south,12.5,9.0,-90,3.810,2.743,-1.5708
R1T1A3_N,R1T1A3,north,12.5,16.0,90,3.810,4.877,1.5708
R1T1A4_S,R1T1A4,south,17.5,9.0,-90,5.334,2.743,-1.5708
R1T1A4_N,R1T1A4,north,17.5,16.0,90,5.334,4.877,1.5708
R1T2A1_S,R1T2A1,south,32.5,9.0,-90,9.906,2.743,-1.5708
R1T2A1_N,R1T2A1,north,32.5,16.0,90,9.906,4.877,1.5708
R1T2A2_S,R1T2A2,south,37.5,9.0,-90,11.430,2.743,-1.5708
R1T2A2_N,R1T2A2,north,37.5,16.0,90,11.430,4.877,1.5708
R1T2A3_S,R1T2A3,south,42.5,9.0,-90,12.954,2.743,-1.5708
R1T2A3_N,R1T2A3,north,42.5,16.0,90,12.954,4.877,1.5708
R1T2A4_S,R1T2A4,south,47.5,9.0,-90,14.478,2.743,-1.5708
R1T2A4_N,R1T2A4,north,47.5,16.0,90,14.478,4.877,1.5708
R1T3A1_S,R1T3A1,south,62.5,9.0,-90,19.050,2.743,-1.5708
R1T3A1_N,R1T3A1,north,62.5,16.0,90,19.050,4.877,1.5708
R1T3A2_S,R1T3A2,south,67.5,9.0,-90,20.574,2.743,-1.5708
R1T3A2_N,R1T3A2,north,67.5,16.0,90,20.574,4.877,1.5708
R1T3A3_S,R1T3A3,south,72.5,9.0,-90,22.098,2.743,-1.5708
R1T3A3_N,R1T3A3,north,72.5,16.0,90,22.098,4.877,1.5708
R1T3A4_S,R1T3A4,south,77.5,9.0,-90,23.622,2.743,-1.5708
R1T3A4_N,R1T3A4,north,77.5,16.0,90,23.622,4.877,1.5708
R1T4A1_S,R1T4A1,south,92.5,9.0,-90,28.194,2.743,-1.5708
R1T4A1_N,R1T4A1,north,92.5,16.0,90,28.194,4.877,1.5708
R1T4A2_S,R1T4A2,south,97.5,9.0,-90,29.718,2.743,-1.5708
R1T4A2_N,R1T4A2,north,97.5,16.0,90,29.718,4.877,1.5708
R1T4A3_S,R1T4A3,south,102.5,9.0,-90,31.242,2.743,-1.5708
R1T4A3_N,R1T4A3,north,102.5,16.0,90,31.242,4.877,1.5708
R1T4A4_S,R1T4A4,south,107.5,9.0,-90,32.766,2.743,-1.5708
R1T4A4_N,R1T4A4,north,107.5,16.0,90,32.766,4.877,1.5708
R1T5A1_S,R1T5A1,south,122.5,9.0,-90,37.338,2.743,-1.5708
R1T5A1_N,R1T5A1,north,122.5,16.0,90,37.338,4.877,1.5708
R1T5A2_S,R1T5A2,south,127.5,9.0,-90,38.862,2.743,-1.5708
R1T5A2_N,R1T5A2,north,127.5,16.0,90,38.862,4.877,1.5708
R1T5A3_S,R1T5A3,south,132.5,9.0,-90,40.386,2.743,-1.5708
R1T5A3_N,R1T5A3,north,132.5,16.0,90,40.386,4.877,1.5708
R1T5A4_S,R1T5A4,south,137.5,9.0,-90,41.910,2.743,-1.5708
R1T5A4_N,R1T5A4,north,137.5,16.0,90,41.910,4.877,1.5708
R2T1A1_S,R2T1A1,south,2.5,24.0,-90,0.762,7.315,-1.5708
R2T1A1_N,R2T1A1,north,2.5,31.0,90,0.762,9.449,1.5708
R2T1A2_S,R2T1A2,south,7.5,24.0,-90,2.286,7.315,-1.5708
R2T1A2_N,R2T1A2,north,7.5,31.0,90,2.286,9.449,1.5708
R2T1A3_S,R2T1A3,south,12.5,24.0,-90,3.810,7.315,-1.5708
R2T1A3_N,R2T1A3,north,12.5,31.0,90,3.810,9.449,1.5708
R2T1A4_S,R2T1A4,south,17.5,24.0,-90,5.334,7.315,-1.5708
R2T1A4_N,R2T1A4,north,17.5,31.0,90,5.334,9.449,1.5708
R2T2A1_S,R2T2A1,south,32.5,24.0,-90,9.906,7.315,-1.5708
R2T2A1_N,R2T2A1,north,32.5,31.0,90,9.906,9.449,1.5708
R2T2A2_S,R2T2A2,south,37.5,24.0,-90,11.430,7.315,-1.5708
R2T2A2_N,R2T2A2,north,37.5,31.0,90,11.430,9.449,1.5708
R2T2A3_S,R2T2A3,south,42.5,24.0,-90,12.954,7.315,-1.5708
R2T2A3_N,R2T2A3,north,42.5,31.0,90,12.954,9.449,1.5708
R2T2A4_S,R2T2A4,south,47.5,24.0,-90,14.478,7.315,-1.5708
R2T2A4_N,R2T2A4,north,47.5,31.0,90,14.478,9.449,1.5708
R2T3A1_S,R2T3A1,south,62.5,24.0,-90,19.050,7.315,-1.5708
R2T3A1_N,R2T3A1,north,62.5,31.0,90,19.050,9.449,1.5708
R2T3A2_S,R2T3A2,south,67.5,24.0,-90,20.574,7.315,-1.5708
R2T3A2_N,R2T3A2,north,67.5,31.0,90,20.574,9.449,1.5708
R2T3A3_S,R2T3A3,south,72.5,24.0,-90,22.098,7.315,-1.5708
R2T3A3_N,R2T3A3,north,72.5,31.0,90,22.098,9.449,1.5708
R2T3A4_S,R2T3A4,south,77.5,24.0,-90,23.622,7.315,-1.5708
R2T3A4_N,R2T3A4,north,77.5,31.0,90,23.622,9.449,1.5708
R2T4A1_S,R2T4A1,south,92.5,24.0,-90,28.194,7.315,-1.5708
R2T4A1_N,R2T4A1,north,92.5,31.0,90,28.194,9.449,1.5708
R2T4A2_S,R2T4A2,south,97.5,24.0,-90,29.718,7.315,-1.5708
R2T4A2_N,R2T4A2,north,97.5,31.0,90,29.718,9.449,1.5708
R2T4A3_S,R2T4A3,south,102.5,24.0,-90,31.242,7.315,-1.5708
R2T4A3_N,R2T4A3,north,102.5,31.0,90,31.242,9.449,1.5708
R2T4A4_S,R2T4A4,south,107.5,24.0,-90,32.766,7.315,-1.5708
R2T4A4_N,R2T4A4,north,107.5,31.0,90,32.766,9.449,1.5708
R2T5A1_S,R2T5A1,south,122.5,24.0,-90,37.338,7.315,-1.5708
R2T5A1_N,R2T5A1,north,122.5,31.0,90,37.338,9.449,1.5708
R2T5A2_S,R2T5A2,south,127.5,24.0,-90,38.862,7.315,-1.5708
R2T5A2_N,R2T5A2,north,127.5,31.0,90,38.862,9.449,1.5708
R2T5A3_S,R2T5A3,south,132.5,24.0,-90,40.386,7.315,-1.5708
R2T5A3_N,R2T5A3,north,132.5,31.0,90,40.386,9.449,1.5708
